Worker_Thread_Count,branch,Schedule_Queue_Count,Event_Processing_Rate_(per_sec)_Mean,Event_Processing_Rate_(per_sec)_CI_Lower,Event_Processing_Rate_(per_sec)_CI_Upper,Event_Processing_Rate_(per_sec)_Median,Event_Processing_Rate_(per_sec)_Lower_Quartile,Event_Processing_Rate_(per_sec)_Upper_Quartile,Simulation_Runtime_(secs.)_Mean,Simulation_Runtime_(secs.)_CI_Lower,Simulation_Runtime_(secs.)_CI_Upper,Simulation_Runtime_(secs.)_Median,Simulation_Runtime_(secs.)_Lower_Quartile,Simulation_Runtime_(secs.)_Upper_Quartile,Event_Commitment_Ratio_Mean,Event_Commitment_Ratio_CI_Lower,Event_Commitment_Ratio_CI_Upper,Event_Commitment_Ratio_Median,Event_Commitment_Ratio_Lower_Quartile,Event_Commitment_Ratio_Upper_Quartile,Speedup_w.r.t._Sequential_Simulation_Mean,Speedup_w.r.t._Sequential_Simulation_CI_Lower,Speedup_w.r.t._Sequential_Simulation_CI_Upper,Speedup_w.r.t._Sequential_Simulation_Median,Speedup_w.r.t._Sequential_Simulation_Lower_Quartile,Speedup_w.r.t._Sequential_Simulation_Upper_Quartile
3,HashingPOC,3,63869.01070556148,63668.44380796037,64069.57760316259,63833.56183369668,63748.55850724237,64007.187339813,133.4056,132.98767851141383,133.82352148858615,133.479,133.1175,133.657,1.000002488140548,1.0000024229689854,1.0000025533121106,1.000002464667524,1.000002464667524,1.000002523350084,0.022487926401266352,0.02241730737578849,0.022558545426744212,0.022475445575708537,0.02244551505509466,0.02253657816021696
3,master,3,66257.61724026881,65969.92064603328,66545.31383450434,66251.0808036825,66067.90548200428,66450.59721682649,128.5966,128.03859559136137,129.15460440863862,128.608,128.2225,128.965,1.0000002347302404,0.9999998356375545,1.0000006338229261,1.0,1.0,1.000000586825601,0.02332899415526824,0.023227698169734485,0.023430290140801998,0.023326698183627766,0.023262196189176132,0.023396940107180582
