branch,Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,GVT_Period,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Events_for_Starved_Objects,Sched_Event_Swaps_Success,Sched_Event_Swaps_Failed,Average_Memory_Usage_(MB)
master,traffic,mpirun-np2-hostolaf,honi./traffic_sim,10000,3,multiset,3,,asynchronous,1000,32,13.4382,10000,6232183,20405,20652,809,5017,446,89591,21461,6255036,6231127,10345,108298,74,148
master,traffic,mpirun-np2-hostolaf,honi./traffic_sim,10000,3,multiset,3,,asynchronous,1000,32,12.9464,10000,6219832,19748,8301,152,2838,136,49837,8453,6240150,6231127,10215,105910,65,150
master,traffic,mpirun-np2-hostolaf,honi./traffic_sim,10000,3,multiset,3,,asynchronous,1000,32,13.4128,10000,6229594,20341,18063,745,4201,373,75593,18808,6251295,6231123,10244,107413,44,154
master,traffic,mpirun-np2-hostolaf,honi./traffic_sim,10000,3,multiset,3,,asynchronous,1000,32,13.4014,10000,6226516,20029,14985,433,3909,316,70077,15418,6248185,6231127,10192,107238,40,152
master,traffic,mpirun-np2-hostolaf,honi./traffic_sim,10000,3,multiset,3,,asynchronous,1000,32,13.3749,10000,6241450,20934,29920,1338,5924,726,113380,31257,6264842,6231122,10303,109656,56,151
master,traffic,mpirun-np2-hostolaf,honi./traffic_sim,10000,6,multiset,6,,asynchronous,1000,32,10.9257,10000,6290875,20821,79344,1225,12925,1951,253914,80569,6314629,6231120,10326,118979,152,164
master,traffic,mpirun-np2-hostolaf,honi./traffic_sim,10000,6,multiset,6,,asynchronous,1000,32,11.6266,10000,6314194,21327,102663,1731,15102,2628,306128,104394,6340281,6231127,10455,122014,136,174
master,traffic,mpirun-np2-hostolaf,honi./traffic_sim,10000,6,multiset,6,,asynchronous,1000,32,10.8867,10000,6265394,20646,53863,1050,10704,1312,196460,54913,6291389,6231122,10444,115565,160,160
master,traffic,mpirun-np2-hostolaf,honi./traffic_sim,10000,6,multiset,6,,asynchronous,1000,32,10.9292,10000,6284503,21335,72972,1739,12734,1843,243788,74711,6309998,6231122,10495,118285,165,170
master,traffic,mpirun-np2-hostolaf,honi./traffic_sim,10000,6,multiset,6,,asynchronous,1000,32,11.6252,10000,6310939,21401,99408,1805,15536,2501,305432,101213,6338088,6231127,10531,122089,173,166
,traffic,mpirun-np2-hostolaf,honi./traffic_sim,10000,3,multiset3,,asynchronous,1000,32,33.8201,10000,9352512,43749,3140982,24153,140313,387836,9372246,3165134,9404478,6231127,10347,0,0,509
,traffic,mpirun-np2-hostolaf,honi./traffic_sim,10000,3,multiset3,,asynchronous,1000,32,34.3757,10000,9449319,44011,3237789,24415,143010,398014,9638583,3262204,9506810,6231126,10625,0,0,516
,traffic,mpirun-np2-hostolaf,honi./traffic_sim,10000,3,multiset3,,asynchronous,1000,32,33.0298,10000,9122957,41488,2911426,21892,135426,363483,8793844,2933317,9178952,6231127,10956,0,0,494
,traffic,mpirun-np2-hostolaf,honi./traffic_sim,10000,3,multiset3,,asynchronous,1000,32,33.5082,10000,9389432,43956,3177902,24360,142255,391400,9495150,3202260,9446897,6231128,10717,0,0,506
,traffic,mpirun-np2-hostolaf,honi./traffic_sim,10000,3,multiset3,,asynchronous,1000,32,33.0709,10000,9257571,42019,3046040,22423,139221,376623,9126189,3068463,9313819,6231127,10792,0,0,507
,traffic,mpirun-np2-hostolaf,honi./traffic_sim,10000,6,multiset6,,asynchronous,1000,32,33.0772,10000,9966047,41128,3754516,21532,166305,447214,11057496,3776048,10096628,6231127,13566,0,0,515
,traffic,mpirun-np2-hostolaf,honi./traffic_sim,10000,6,multiset6,,asynchronous,1000,32,34.6328,10000,10252524,44089,4040993,24493,177780,486701,12146978,4065486,10508514,6231127,21352,0,0,520
,traffic,mpirun-np2-hostolaf,honi./traffic_sim,10000,6,multiset6,,asynchronous,1000,32,30.5848,10000,9629352,38974,3417821,19378,159225,406991,10173579,3437199,9730005,6231127,13350,0,0,514
,traffic,mpirun-np2-hostolaf,honi./traffic_sim,10000,6,multiset6,,asynchronous,1000,32,27.9595,10000,9285521,35937,3073990,16341,151767,361968,9198724,3090331,9337426,6231127,10981,0,0,501
,traffic,mpirun-np2-hostolaf,honi./traffic_sim,10000,6,multiset6,,asynchronous,1000,32,34.1191,10000,10319074,45904,4107543,26308,172830,502409,12274323,4133851,10550506,6231127,16373,0,0,526
