branch,Schedule_Queue_Count,Event_Processing_Rate_(per_sec)_Mean,Event_Processing_Rate_(per_sec)_CI_Lower,Event_Processing_Rate_(per_sec)_CI_Upper,Event_Processing_Rate_(per_sec)_Median,Event_Processing_Rate_(per_sec)_Lower_Quartile,Event_Processing_Rate_(per_sec)_Upper_Quartile,Simulation_Runtime_(secs.)_Mean,Simulation_Runtime_(secs.)_CI_Lower,Simulation_Runtime_(secs.)_CI_Upper,Simulation_Runtime_(secs.)_Median,Simulation_Runtime_(secs.)_Lower_Quartile,Simulation_Runtime_(secs.)_Upper_Quartile,Event_Commitment_Ratio_Mean,Event_Commitment_Ratio_CI_Lower,Event_Commitment_Ratio_CI_Upper,Event_Commitment_Ratio_Median,Event_Commitment_Ratio_Lower_Quartile,Event_Commitment_Ratio_Upper_Quartile,Speedup_w.r.t._Sequential_Simulation_Mean,Speedup_w.r.t._Sequential_Simulation_CI_Lower,Speedup_w.r.t._Sequential_Simulation_CI_Upper,Speedup_w.r.t._Sequential_Simulation_Median,Speedup_w.r.t._Sequential_Simulation_Lower_Quartile,Speedup_w.r.t._Sequential_Simulation_Upper_Quartile
HashingPOC,3,467718.4707873088,462542.83609018044,472894.1054844372,469896.0033086438,463197.9795712016,471150.19574274856,13.382140000000001,13.21020794247053,13.554072057529472,13.2994,13.276900000000001,13.52875,1.0044128796493772,1.0015246189956555,1.007301140303099,1.0031020100556545,1.002851410803953,1.0066297832916622,1.1341604568442207,1.119655860130126,1.1486650535583154,1.1411191482322511,1.1217855708997906,1.143055997094636
master,3,469172.7669520648,458488.8330063594,479856.70089777024,469789.37164670345,460829.2930903854,477207.93846642494,13.330779999999999,13.006650903756922,13.654909096243076,13.3078,13.08665,13.586400000000001,1.0034535671576634,1.0018487600596446,1.0050583742556822,1.0033286140120512,1.0021964733484081,1.004773137539725,1.138782280796238,1.1110963400405995,1.1664682215518765,1.1403988638242233,1.117040995185714,1.159715274892769
