branch,Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,GVT_Period,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Events_for_Starved_Objects,Sched_Event_Swaps_Success,Sched_Event_Swaps_Failed,Average_Memory_Usage_(MB)
master,traffic,mpirun-np2-hostolaf,honi./traffic_sim,10000,6,multiset,6,,asynchronous,1000,32,11.3605,10000,6296335,21047,84804,1451,13855,2222,273471,86255,6324348,6231127,10617,120128,164,157
master,traffic,mpirun-np2-hostolaf,honi./traffic_sim,10000,6,multiset,6,,asynchronous,1000,32,11.0747,10000,6297949,21208,86418,1612,13050,2192,260589,88030,6322715,6231125,10357,119394,112,158
HashingPOC,traffic,mpirun-np2-hostolaf,honi./traffic_sim,15000,3,multiset,3,,asynchronous,1000,32,20.3271,10000,9329379,33346,80992,3134,12943,2399,265491,84126,9371680,9278599,10666,157883,263,164
HashingPOC,traffic,mpirun-np2-hostolaf,honi./traffic_sim,15000,3,multiset,3,,asynchronous,1000,32,19.9156,10000,9310636,33707,62249,3495,10807,1643,211018,65744,9346728,9278599,10248,154998,246,165
HashingPOC,traffic,mpirun-np2-hostolaf,honi./traffic_sim,15000,3,multiset,3,,asynchronous,1000,32,19.7308,10000,9299781,31347,51394,1135,9966,1222,187581,52529,9333932,9278599,10329,153540,267,151
HashingPOC,traffic,mpirun-np2-hostolaf,honi./traffic_sim,15000,3,multiset,3,,asynchronous,1000,32,19.612,10000,9304756,31747,56369,1535,10571,1265,197092,57904,9337624,9278595,10193,154270,245,154
HashingPOC,traffic,mpirun-np2-hostolaf,honi./traffic_sim,15000,3,multiset,3,,asynchronous,1000,32,19.6454,10000,9293860,31127,45473,915,9090,1020,171172,46387,9327418,9278590,10282,152499,251,153
HashingPOC,traffic,mpirun-np2-hostolaf,honi./traffic_sim,15000,6,multiset,6,,asynchronous,1000,32,16.0317,10000,9354289,31835,105902,1623,18834,2645,357196,107525,9392161,9278599,10468,164786,390,164
HashingPOC,traffic,mpirun-np2-hostolaf,honi./traffic_sim,15000,6,multiset,6,,asynchronous,1000,32,15.9515,10000,9336545,31990,88158,1778,17305,2241,327922,89936,9375824,9278599,10642,162714,381,159
HashingPOC,traffic,mpirun-np2-hostolaf,honi./traffic_sim,15000,6,multiset,6,,asynchronous,1000,32,16.0248,10000,9347974,32335,99587,2123,18290,2658,346302,101710,9389965,9278599,10992,164084,324,156
HashingPOC,traffic,mpirun-np2-hostolaf,honi./traffic_sim,15000,6,multiset,6,,asynchronous,1000,32,16.1678,10000,9362180,33093,113793,2881,20192,2738,386049,116674,9399837,9278599,10418,166442,369,155
HashingPOC,traffic,mpirun-np2-hostolaf,honi./traffic_sim,15000,6,multiset,6,,asynchronous,1000,32,16.0662,10000,9352583,32417,104196,2205,18522,2514,355941,106401,9389071,9278599,10518,164234,357,165
HashingPOC,traffic,mpirun-np2-hostolaf,honi./traffic_sim,20000,3,multiset,3,,asynchronous,1000,32,27.0303,10000,12444878,44752,115105,4619,17015,3470,354665,119724,12501514,12369901,10795,202885,385,165
HashingPOC,traffic,mpirun-np2-hostolaf,honi./traffic_sim,20000,3,multiset,3,,asynchronous,1000,32,26.3738,10000,12409190,42748,79417,2615,13996,1914,273398,82032,12453369,12369901,10244,197948,350,163
HashingPOC,traffic,mpirun-np2-hostolaf,honi./traffic_sim,20000,3,multiset,3,,asynchronous,1000,32,25.6747,10000,12370581,41798,40808,1665,9504,912,170934,42473,12415296,12369901,10299,191880,334,150
HashingPOC,traffic,mpirun-np2-hostolaf,honi./traffic_sim,20000,3,multiset,3,,asynchronous,1000,32,26.726,10000,12431688,44464,101915,4331,16934,2623,339469,106246,12480661,12369904,10407,201746,373,156
HashingPOC,traffic,mpirun-np2-hostolaf,honi./traffic_sim,20000,3,multiset,3,,asynchronous,1000,32,26.365,10000,12392076,41924,62303,1791,11942,1508,228162,64094,12437362,12369899,10334,195248,373,151
HashingPOC,traffic,mpirun-np2-hostolaf,honi./traffic_sim,20000,6,multiset,6,,asynchronous,1000,32,21.6817,10000,12496954,43226,167181,3093,28142,4161,543252,170274,12545053,12369906,10518,215920,556,167
HashingPOC,traffic,mpirun-np2-hostolaf,honi./traffic_sim,20000,6,multiset,6,,asynchronous,1000,32,21.1728,10000,12488641,43233,158868,3100,26131,3993,506233,161968,12536504,12369903,10426,213700,598,165
HashingPOC,traffic,mpirun-np2-hostolaf,honi./traffic_sim,20000,6,multiset,6,,asynchronous,1000,32,21.1936,10000,12468178,43045,138405,2912,25182,3410,478271,141317,12516687,12369903,10513,211722,536,162
HashingPOC,traffic,mpirun-np2-hostolaf,honi./traffic_sim,20000,6,multiset,6,,asynchronous,1000,32,21.1084,10000,12470671,42579,140898,2446,25029,3401,474914,143343,12519195,12369898,10591,211715,524,163
HashingPOC,traffic,mpirun-np2-hostolaf,honi./traffic_sim,20000,6,multiset,6,,asynchronous,1000,32,21.5674,10000,12497144,44045,167370,3913,27692,4137,543788,171281,12546978,12369900,10576,215087,590,164
HashingPOC,traffic,mpirun-np2-hostolaf,honi./traffic_sim,10000,3,multiset,3,,asynchronous,1000,32,12.9337,10000,6234556,20040,23025,444,5314,530,98254,23469,6256968,6231122,10259,108836,156,150
HashingPOC,traffic,mpirun-np2-hostolaf,honi./traffic_sim,10000,3,multiset,3,,asynchronous,1000,32,13.2914,10000,6224821,20231,13290,635,3583,269,63762,13924,6246729,6231127,10281,106693,127,151
HashingPOC,traffic,mpirun-np2-hostolaf,honi./traffic_sim,10000,3,multiset,3,,asynchronous,1000,32,13.2534,10000,6230550,20042,19019,446,4831,418,87369,19465,6252941,6231127,10315,108095,128,151
HashingPOC,traffic,mpirun-np2-hostolaf,honi./traffic_sim,10000,3,multiset,3,,asynchronous,1000,32,12.9994,10000,6230544,20122,19013,526,4551,382,82371,19539,6251806,6231127,10257,107781,126,152
HashingPOC,traffic,mpirun-np2-hostolaf,honi./traffic_sim,10000,3,multiset,3,,asynchronous,1000,32,13.4556,10000,6236124,20605,24593,1009,5556,613,104021,25602,6260396,6231127,10477,108956,146,156
HashingPOC,traffic,mpirun-np2-hostolaf,honi./traffic_sim,10000,6,multiset,6,,asynchronous,1000,32,10.8852,10000,6276087,20897,64557,1301,12035,1563,225604,65857,6298982,6231122,10288,117317,200,165
HashingPOC,traffic,mpirun-np2-hostolaf,honi./traffic_sim,10000,6,multiset,6,,asynchronous,1000,32,11.542,10000,6283940,20945,72409,1349,12813,1762,247704,73757,6309782,6231127,10573,118077,242,155
HashingPOC,traffic,mpirun-np2-hostolaf,honi./traffic_sim,10000,6,multiset,6,,asynchronous,1000,32,11.1031,10000,6279739,20619,68208,1023,12520,1629,237077,69231,6305628,6231127,10338,117860,215,154
HashingPOC,traffic,mpirun-np2-hostolaf,honi./traffic_sim,10000,6,multiset,6,,asynchronous,1000,32,11.0789,10000,6282497,21183,70967,1587,12524,1715,239899,72553,6306925,6231115,10356,118161,266,164
HashingPOC,traffic,mpirun-np2-hostolaf,honi./traffic_sim,10000,6,multiset,6,,asynchronous,1000,32,11.3349,10000,6286985,20669,75454,1073,12537,1861,243437,76527,6310689,6231127,10360,118225,214,167
