branch,Schedule_Queue_Count,Event_Processing_Rate_(per_sec)_Mean,Event_Processing_Rate_(per_sec)_CI_Lower,Event_Processing_Rate_(per_sec)_CI_Upper,Event_Processing_Rate_(per_sec)_Median,Event_Processing_Rate_(per_sec)_Lower_Quartile,Event_Processing_Rate_(per_sec)_Upper_Quartile,Simulation_Runtime_(secs.)_Mean,Simulation_Runtime_(secs.)_CI_Lower,Simulation_Runtime_(secs.)_CI_Upper,Simulation_Runtime_(secs.)_Median,Simulation_Runtime_(secs.)_Lower_Quartile,Simulation_Runtime_(secs.)_Upper_Quartile,Event_Commitment_Ratio_Mean,Event_Commitment_Ratio_CI_Lower,Event_Commitment_Ratio_CI_Upper,Event_Commitment_Ratio_Median,Event_Commitment_Ratio_Lower_Quartile,Event_Commitment_Ratio_Upper_Quartile,Speedup_w.r.t._Sequential_Simulation_Mean,Speedup_w.r.t._Sequential_Simulation_CI_Lower,Speedup_w.r.t._Sequential_Simulation_CI_Upper,Speedup_w.r.t._Sequential_Simulation_Median,Speedup_w.r.t._Sequential_Simulation_Lower_Quartile,Speedup_w.r.t._Sequential_Simulation_Upper_Quartile
HashingPOC,3,70108.99779861487,69521.05878946155,70696.9368077682,70210.69872026205,69703.03798375669,70464.10715264949,36.07658,35.77217197930579,36.38098802069421,36.023,35.8935,36.28645,1.0000023722972615,1.0000023722972615,1.0000023722972615,1.0000023722972615,1.0000023722972615,1.0000023722972615,1.5908189532121895,1.5774782330698114,1.6041596733545676,1.5931266135524524,1.5816074598518937,1.5988766164023536
master,3,71902.50964260999,71428.27660760481,72376.74267761517,71883.98835847706,71531.65901843281,72282.62090885366,35.17612,34.94404872370402,35.40819127629597,35.1844,34.99035000000001,35.357749999999996,1.0000000790765753,0.9999998595248046,1.0000002986283458,1.0,1.0,1.0000001976914383,1.6315186498790126,1.6207579573181632,1.642279342439862,1.6310978729209538,1.6231039160066978,1.6401437722303567
