Worker_Thread_Count,branch,Schedule_Queue_Type,Event_Processing_Rate_(per_sec)_Mean,Event_Processing_Rate_(per_sec)_CI_Lower,Event_Processing_Rate_(per_sec)_CI_Upper,Event_Processing_Rate_(per_sec)_Median,Event_Processing_Rate_(per_sec)_Lower_Quartile,Event_Processing_Rate_(per_sec)_Upper_Quartile,Simulation_Runtime_(secs.)_Mean,Simulation_Runtime_(secs.)_CI_Lower,Simulation_Runtime_(secs.)_CI_Upper,Simulation_Runtime_(secs.)_Median,Simulation_Runtime_(secs.)_Lower_Quartile,Simulation_Runtime_(secs.)_Upper_Quartile,Event_Commitment_Ratio_Mean,Event_Commitment_Ratio_CI_Lower,Event_Commitment_Ratio_CI_Upper,Event_Commitment_Ratio_Median,Event_Commitment_Ratio_Lower_Quartile,Event_Commitment_Ratio_Upper_Quartile,Speedup_w.r.t._Sequential_Simulation_Mean,Speedup_w.r.t._Sequential_Simulation_CI_Lower,Speedup_w.r.t._Sequential_Simulation_CI_Upper,Speedup_w.r.t._Sequential_Simulation_Median,Speedup_w.r.t._Sequential_Simulation_Lower_Quartile,Speedup_w.r.t._Sequential_Simulation_Upper_Quartile
3,HashingPOC,multiset,473884.90699836257,462435.0880057478,485334.7259909773,471541.920226547,465378.63283801643,483562.6745446165,13.20932,12.857746063127713,13.560893936872287,13.2776,12.914200000000001,13.4703,1.0042509501669534,1.001276657353379,1.007225242980528,1.0041323182788604,1.0021975167649808,1.0063636995129728,1.1793902217877188,1.1479090615754577,1.21087138199998,1.1728926914502622,1.156130851516929,1.2058983572272366
3,master,multiset,463329.7551624005,456751.64619953756,469907.8641252634,464243.05694379663,458633.4175266641,467569.4419074388,13.52276,13.305755874641482,13.739764125358517,13.5063,13.379000000000001,13.67475,1.0053974840438165,1.0034377123631852,1.0073572557244477,1.0053001665028385,1.0039144619940608,1.006929164864061,1.151781634067398,1.1334273731227489,1.1701358950120473,1.1530322886356739,1.1389169324899702,1.1640210083606881
6,HashingPOC,multiset,566490.9634322795,550755.8019458072,582226.1249187519,571069.4728865394,553665.7315352514,577026.9406021775,11.16386,10.821401094015632,11.506318905984367,11.0849,10.9322,11.434999999999999,1.0144946000409416,1.0109488867853555,1.0180403132965277,1.013293113711,1.0122919194739208,1.0172980237729337,1.395642196876195,1.3531243260038588,1.4381600677485311,1.4049021642053605,1.3620312829807688,1.4246231271070386
6,master,multiset,567019.305618066,556261.2626157838,577777.3486203481,569545.1640487871,558316.4048918845,574459.277128887,11.16078,10.930249497430284,11.391310502569718,11.1095,11.0032,11.344000000000001,1.0154012961124206,1.0136396716674778,1.0171629205573633,1.0150053112382398,1.0143976478702081,1.016602936791723,1.395657126959265,1.3670470832788297,1.4242671706397003,1.4017912597326612,1.3728994712897835,1.415347716242049
