Worker_Thread_Count,branch,Schedule_Queue_Count,Event_Processing_Rate_(per_sec)_Mean,Event_Processing_Rate_(per_sec)_CI_Lower,Event_Processing_Rate_(per_sec)_CI_Upper,Event_Processing_Rate_(per_sec)_Median,Event_Processing_Rate_(per_sec)_Lower_Quartile,Event_Processing_Rate_(per_sec)_Upper_Quartile,Simulation_Runtime_(secs.)_Mean,Simulation_Runtime_(secs.)_CI_Lower,Simulation_Runtime_(secs.)_CI_Upper,Simulation_Runtime_(secs.)_Median,Simulation_Runtime_(secs.)_Lower_Quartile,Simulation_Runtime_(secs.)_Upper_Quartile,Event_Commitment_Ratio_Mean,Event_Commitment_Ratio_CI_Lower,Event_Commitment_Ratio_CI_Upper,Event_Commitment_Ratio_Median,Event_Commitment_Ratio_Lower_Quartile,Event_Commitment_Ratio_Upper_Quartile,Speedup_w.r.t._Sequential_Simulation_Mean,Speedup_w.r.t._Sequential_Simulation_CI_Lower,Speedup_w.r.t._Sequential_Simulation_CI_Upper,Speedup_w.r.t._Sequential_Simulation_Median,Speedup_w.r.t._Sequential_Simulation_Lower_Quartile,Speedup_w.r.t._Sequential_Simulation_Upper_Quartile
6,HashingPOC,6,566490.9634322795,550755.8019458072,582226.1249187519,571069.4728865394,553665.7315352514,577026.9406021775,11.16386,10.821401094015632,11.506318905984367,11.0849,10.9322,11.434999999999999,1.0144946000409416,1.0109488867853555,1.0180403132965277,1.013293113711,1.0122919194739208,1.0172980237729337,1.395642196876195,1.3531243260038588,1.4381600677485311,1.4049021642053605,1.3620312829807688,1.4246231271070386
6,master,6,567019.305618066,556261.2626157838,577777.3486203481,569545.1640487871,558316.4048918845,574459.277128887,11.16078,10.930249497430284,11.391310502569718,11.1095,11.0032,11.344000000000001,1.0154012961124206,1.0136396716674778,1.0171629205573633,1.0150053112382398,1.0143976478702081,1.016602936791723,1.395657126959265,1.3670470832788297,1.4242671706397003,1.4017912597326612,1.3728994712897835,1.415347716242049
